APN,FORMATTED_ADDRESS,COMMUNITY,ABOVEGROUNDAREA,BELOWGROUNDAREA,PARCEL_AREA_SQFT,YEARBUILT,BATHROOMS,BEDROOMS,NUM_STORIES,FIREPLACES,CONSTRUCTIONTYPE,Assessed Value,Sale Price,Recommend Sale
1.21182E+12,4831 Colfax Ave N,CAMDEN,472,472,5150,1922,2,1,1,0,Wood Frame,0,186000,Sell
1.00282E+12,4227 Nicollet Ave #001,SOUTHWEST,475,,7636,1929,1,0,1,0,Concrete,82000,105000,Sell
3.40292E+12,2530 1ST Ave S #N101,POWDERHORN,478,,36028,1964,1,1,1,0,Concrete,74000,125000,Sell
7.02823E+11,3845 41ST Ave S,LONGFELLOW,480,480,5120,1913,1,1,1,0,Wood Frame,135500,160037,Sell
8.02924E+11,2742 Sheridan Ave N,NEAR NORTH,480,480,5126,1915,1,1,1,0,Wood Frame,55500,100880,Sell
3.40292E+12,2532 1ST Ave S #S306,POWDERHORN,480,,36028,1964,1,1,1,0,Concrete,79000,129900,Sell
2.70292E+12,500 Ridgewood Ave #104,CENTRAL,481,,11250,1966,1,1,1,0,Wood Frame,91500,110000,Sell
2.70292E+12,500 Ridgewood Ave #204,CENTRAL,484,,11250,1966,1,1,1,0,Wood Frame,106500,112000,Sell
6.02823E+11,3729 Snelling Ave #208,LONGFELLOW,485,,24000,1970,1,1,1,0,Wood Frame,89500,123500,Sell
2.70292E+12,500 Ridgewood Ave #103,CENTRAL,487,,11250,1966,1,1,1,0,Wood Frame,93000,100000,Sell
1.21182E+12,4538 Colfax Ave N,CAMDEN,488,488,5132,1923,1,1,1,0,Wood Frame,88000,115000,Sell
6.02823E+11,3729 Snelling Ave #202,LONGFELLOW,492,,24000,1970,1,1,1,0,Wood Frame,90500,120900,Sell
1.20292E+12,1818 Arthur St #11,NORTHEAST,499,,15101,1960,1,1,1,0,Wood Frame,71000,116400,Sell
1.90282E+12,5512 41ST Ave S,NOKOMIS,500,,5120,1928,1,1,1,0,Wood Frame,120500,115000,Not Sell
1.21182E+12,5204 Bryant Ave N,CAMDEN,500,500,4145,1926,2,2,1,1,Wood Frame,75000,120000,Sell
7.02823E+11,4444 43RD Ave S,LONGFELLOW,504,126,5040,1911,1,1,1,0,Wood Frame,119000,572000,Sell
1.90282E+12,5735 45TH Ave S,NOKOMIS,504,504,5120,1923,1,1,1,0,Wood Frame,122000,162853,Sell
1.50282E+12,4612 4TH Ave S,NOKOMIS,506,506,5160,1923,1,1,1,0,Wood Frame,159000,189150,Sell
3.40292E+12,2218 Nicollet Ave #5,POWDERHORN,506,,12923,1916,1,1,1,0,Wood Frame,112500,115000,Not Sell
3.40292E+12,2218 Nicollet Ave #26,POWDERHORN,506,,12923,1916,1,1,1,0,Wood Frame,113500,105730,Not Sell
2.30292E+12,20 2ND St NE #P1202,UNIVERSITY,507,,71491,1983,1,0,1,0,Concrete,140500,177510,Sell
2.30292E+12,20 2ND St NE #P1702,UNIVERSITY,507,,71491,1983,1,0,1,0,Concrete,156000,158872,Not Sell
2.70292E+12,1901 Stevens Ave #101,CENTRAL,507,,6400,1919,1,1,1,0,Wood Frame,117500,116000,Not Sell
2.60292E+12,433 7TH St S #1804,CENTRAL,510,,50950,1985,1,0,1,0,Reinforced Concrete,102000,105000,Not Sell
2.70292E+12,440 Ridgewood Ave #201,CENTRAL,510,,10952,1963,1,1,1,0,Wood Frame,129000,135000,Sell
2.70292E+12,1715 Stevens Ave #23,CENTRAL,514,,9600,1920,1,1,1,1,Wood Frame,118500,119000,Not Sell
2.70292E+12,1820 1ST Ave S #002,CENTRAL,514,,9600,1925,1,1,1,0,Wood Frame,82000,96030,Sell
1.00282E+12,3844 Nicollet Ave #203,SOUTHWEST,516,,15280,1965,1,1,1,0,Wood Frame,96500,125000,Sell
